GISJOIN,total,link_title,link,link_des,smart,manual_check,notes
G06022804,2,"['businessspotlight-aug119 - City of Escondido', 'Community - City of Escondido']","['https://www.escondido.org/businessspotlight-aug119.aspx', 'https://www.escondido.org/community.aspx']","['It also reduces the lifespan of concrete sewage pipes.” He believes the company is just getting started in the application of “smart city” technology to\xa0...', 'Related Information: Biking in Escondido – Provided by National University Nursing Students. Escondido is a Smart City\xa0...']",1,1,Interested in taking next steps
G06023182,2,"['Fairfield Information Technology | Fairfield, CA', 'Fairfield gets digitized | Latest News | Fairfield, CA']","['https://www.fairfield.ca.gov/government/city-departments/information-technology', 'https://www.fairfield.ca.gov/Home/Components/News/News/317/14']","['The City of Fairfield is evolving into a smart city through the use of innovative technology. Fairfield Information Technology, referred to as ""IT"",\xa0...', '7 days ago ... ... what assets or asset data can be leveraged for potential public private partnerships and future oriented smart city initiatives.']",1,1,Self declared smartcity
G06025380,2,"['Come Experience Fountain Valley | The City of Fountain Valley', 'The City of Fountain Valley Economic Development Division']","['https://www.fountainvalley.org/341/Fountain-Valley-Crossings', 'https://www.fountainvalley.org/1286/experience-fountain-valley']","[""It's a great mix and offers flexibility for existing property owners. Fountain Valley is considered a Smart City and intends on attracting likeminded\xa0..."", ""It's a great mix and offers flexibility for existing property owners. Fountain Valley is considered a Smart City and intends on attracting like minded\xa0...""]",1,1,Self declared smartcity
G06026000,9,"['City Council Approves Citywide Fiber Optic Master Plan | News ...', 'FOR IMMEDIATE RELEASE CONTACT: Cheryl Golden ...', 'Taylor, Sanford ""Sandy"" | Management Team | City of Fremont, CA ...', 'Fiscal Year 2022/23 Proposed Operating Budget', 'City of Fremont Redistricting Process', 'City of Fremont City Council Retreat Held February 25, 2022', '19 Best Cities to Start a Family', 'Citywide Fiber Optic Master Plan', 'Fiscal Year 2021/22 Adopted Operating Budget']","['https://www.fremont.gov/Home/Components/News/News/121/', 'https://www.fremont.gov/home/showpublisheddocument/553/637750189812930000', 'https://www.fremont.gov/Home/Components/StaffDirectory/StaffDirectory/208/282', 'https://www.fremont.gov/home/showpublisheddocument/9158/637940886347430000', 'https://www.fremont.gov/home/showpublisheddocument/11161/637970366751830000', 'https://www.fremont.gov/home/showpublisheddocument/9236/637886058218800000', 'http://www.fremont.gov/family', 'https://www.fremont.gov/home/showdocument?id=10895&t=637939298456730367', 'https://www.fremont.gov/home/showpublisheddocument/1089/637806234781330000']","[""Jul 22, 2022 ... ... enabling economic development and 'smart city' initiatives, such as high-speed connectivity, sensors, and automated devices."", 'technology serves as the “brains” of the future vehicle, and will be a building block to the future Smart City. The Fremont Mobility Action Plan,\xa0...', '... Fremont App, Smart City connectivity, and more. In addition, his leadership in the timely delivery of large-scale deployments, network design,\xa0...', ""Jun 30, 2022 ... Smart City Solutions: Continue to define Fremont's cohesive Smart City Agenda in the areas of Mobility, Public Safety, Sustainability,\xa0..."", ""economic development and 'smart city' initiatives, such as high-speed connectivity, sensors, and automated devices. It also strategizes the use."", 'Feb 25, 2022 ... network to connect all city facilities, support smart city initiatives, and provide critical infrastructure for innovative economic\xa0...', 'Jul 20, 2022 ... 4. Worcester, Massachusetts. In the heart of Commonwealth and New England, Worcester is a smart city with quality colleges and universities,\xa0...', ""and license plate readers, Smart City and Internet of Things applications, as well as building diversity and redundancy into the City's network in the event\xa0..."", ""Jul 1, 2020 ... Smart City Solutions: Continue to to define Fremont's cohesive Smart City Agenda in the areas of Mobility, Public Safety, Sustainability,\xa0...""]",1,1,"Numerous examples of smartcity applications, including ongoing discussions."
G06027000,1,"['City Announces New Wireless Marketing Plan, Small ... - City of Fresno']",['https://www.fresno.gov/news/city-announces-new-wireless-marketing-plan-small-cell-program-with-5-bars-communities/'],"['May 26, 2017 ... The comprehensive program encompasses intelligent infrastructure technologies, smart city initiatives and 5G wireless planning.']",1,1,Active investments in smartcity tech
G06028000,2,"['Fullerton to Unlock Energy Savings with Smart City Solutions | City ...', 'City News | Fullerton, CA']","['https://www.cityoffullerton.com/Home/Components/News/News/225/900', 'https://www.cityoffullerton.com/government/city-news']","[""Feb 24, 2022 ... Fullerton to Unlock Energy Savings with Smart City Solutions. Self-funding project to reduce city's carbon footprint, enable critical\xa0..."", ""Fullerton to Unlock Energy Savings with Smart City Solutions. Self-funding project to reduce city's carbon footprint, enable critical infrastructure\xa0...""]",1,1,Smartcity - focus on sustainability
G06030000,8,"['Be Street Smart Glendale | City of Glendale, CA', ""Glendale Kiwanis Club Partners with City's Be Street Smart ..."", 'City-Wide Plans | City of Glendale, CA', 'Programs and Services | City of Glendale, CA', 'Meet the Team | ChooseGlendale', 'City of Glendale', 'UTILITY MODERNIZATION', 'Glendale,']","['https://www.glendaleca.gov/government/departments/community-development/planning/plans-for-mobility/glendale-walks', 'https://www.glendaleca.gov/Home/Components/News/News/5597/', 'https://www.glendaleca.gov/government/departments/community-development/planning/city-wide-plans', 'https://www.glendaleca.gov/government/departments/management-services/office-of-sustainability/programs-and-services', 'https://www.glendaleca.gov/government/departments/economic-development/meet-the-team', 'https://www.glendaleca.gov/home/showdocument?id=47798', 'https://www.glendaleca.gov/home/showdocument?id=16341', 'https://www.glendaleca.gov/home/showpublisheddocument/58833/637352499702470000']","['Be Street Smart Glendale represents the Citywide Safety Education Initiative and Safe Routes to School Program that will consolidate existing City and\xa0...', ""Glendale Kiwanis Club Partners with City's Be Street Smart Glendale Program to Keep Kids Safe. Post Date:01/30/2018 6:14 PM. FOR IMMEDIATE RELEASE:."", '... Bicycle Transportation Plan · Mobility Study · Pedestrian Plan · Safe and Healthy Streets Plan · Public Transportation · Be Street Smart Glendale.', 'Pedestrian Plan · Safe and Healthy Streets Plan · Be Street Smart Glendale · Safe Routes To School Program. Accomplishments. Mass Transit Linkages.', 'He served as Project Manager for the “Be Street Smart Glendale” safety education campaign, implemented community gardens on vacant parcels of land,\xa0...', ""Sep 8, 2017 ... 1.3 Include public art policy in all urban design plans, infrastructure, and City programs ranging from Street Smart Glendale to the city's\xa0..."", 'Smart City, whose benefits extend in practical ways to all of its consumers. The road-map known as the GWP. Smart Grid Architecture, is an.', 'input of community members via a task force, pop-up events, and an online survey on the Be Street Smart Glendale website. The.']",1,1,"Numerous examples of smartcity applications, including ongoing discussions."
G06030014,1,['Smart Water Meter Program | City of Glendora'],['https://www.cityofglendora.org/departments/water-conservation/smart-water-meter-program'],"[""Let's get water smart, Glendora! The City welcomes you to the Glendora Smart Water Meter Program! We're kicking off this long-term program with a meter\xa0...""]",1,0,More about water
G06033518,1,"['City of Hidden Hills, CA REQUEST FOR PROPOSALS FOR A P3 ...']",['https://hiddenhillscity.org/wp-content/uploads/request-for-proposal-rfp-for-a-p3-public-private-partnership-for-a-fiber-to-the-home-network-system-new.pdf'],"['Apr 17, 2020 ... Smart City applications or other innovative service practices, telehealth/educational services, and other community benefits. Max 20 points.']",1,0,rfp
G06036000,5,"['Smart Fusion Pole to Deliver ... - City of Huntington Beach, CA - News', 'ET Offsite Meeting', 'Wireless Communications Facilities ... - City of Huntington Beach, CA', 'City Council - Dan Kalmick - City of Huntington Beach, CA', '2021 City Council Goals Objectives Workplan Tracking Sheet']","['https://www.huntingtonbeachca.gov/announcements/announcement.cfm?id=1197', 'http://www.huntingtonbeachca.gov/files/users/city-manager/2022-Strategic-Planning-Recap.pdf', 'https://www.huntingtonbeachca.gov/government/departments/public_works/wireless-communications/', 'https://www.huntingtonbeachca.gov/government/elected_officials/city_council/council_bios/kalmick.cfm', 'https://www.huntingtonbeachca.gov/files/users/city-manager/2021-City-Council-Strategic-Plan.pdf']","[""Mar 5, 2018 ... That's why I am excited about the Smart Fusion Pole; it provides the connectivity required for our smart city initiatives without\xa0..."", 'Develop smart city policies/ small cell access. Fiscal Sustainability,. Public Safety, Other. • Maintain a balanced budget and responsible spending.', 'These new vertical assets provide opportunities for the implementation and installation of smart city initiatives and the collaboration between the City and\xa0...', 'As a member of the City Council, he is focused on protecting and rebuilding our economy through the impacts of COVID-19, implementing a smart city plan\xa0...', 'Jan 19, 2022 ... Develop smart city policies while prioritizing broadband / small cell access throughout the community. Provide consistent COVID‐19 public\xa0...']",1,1,kiosks and other smart city tech
G06036056,1,['City of Huntington Park \\\\\\'],['https://www.hpca.gov/DocumentCenter/View/7203/FY-2018-19-Adopted-Budget'],"['Jul 4, 2018 ... Launch a Smart City Initiative. ❖ Develop an effective monitoring, tracking and reporting system for all the activities associated to.']",1,1,Active investments in smartcity tech
G06036280,1,['Untitled'],['https://www.cityofimperial.org/sites/default/files/agendas/council/CC04-19-17_Item-G1.pdf'],"['Apr 19, 2017 ... The advent of ""smart city"" systems promise to improve how we move by supporting more affordable and sustainable mobility choices;\xa0...']",1,1,Interested in taking next steps
G06036546,1,"['1 City of Inglewood, California Request for Proposals ...']",['https://www.cityofinglewood.org/DocumentCenter/View/15235'],"['Aug 14, 2020 ... and Smart City services to businesses and residents. The City seeks to directly grant rights to use underground conduit and/or fiber assets\xa0...']",1,1,Active investments in smartcity tech
G06040130,9,"['Lancaster uses advanced smart technology to improve residents ...', 'Building a Safer and More Efficient City of Lancaster, Today and ...', 'The BLVD Just Got Smarter: City Introduces Free Wi-Fi Zone for ...', 'City Manager | City of Lancaster', 'Advanced Traffic Management System Implementation Case Study ...', 'Reinventing', 'Lancaster, CA Becomes the First Hydrogen City in the United States ...', 'CITY OF LANCASTER', 'CITY OF LANCASTER - Adopted Budget & Five-Year Capital ...']","['https://www.cityoflancasterca.org/Home/Components/News/News/9476/', 'https://www.cityoflancasterca.org/home/showdocument?id=41901', 'https://www.cityoflancasterca.org/Home/Components/News/News/9238/1952?arch=1', 'https://www.cityoflancasterca.org/government/city-officials/city-manager', 'https://www.cityoflancasterca.org/our-city/departments-services/development-services/city-engineering/traffic-engineering/advanced-traffic-management-system', 'https://www.cityoflancasterca.org/home/showpublisheddocument/40658/636905005710200000', 'https://www.cityoflancasterca.org/Home/Components/News/News/9530/20', 'https://www.cityoflancasterca.org/home/showdocument?id=41024', 'https://www.cityoflancasterca.org/home/showpublisheddocument/42914/637528801300870000']","['Jun 10, 2020 ... The City has launched a number of Smart City projects and initiatives, in accordance with its vision of Strategic Technology, Innovation, and\xa0...', 'and initiatives towards becoming a smart city, and continues to implement changes that advance accessibility, engagement, infrastructure, safety,.', ""Dec 7, 2018 ... As part of Lancaster's Smart City initiative, downtown Lancaster now offers a free Wi-Fi zone on The BLVD from 10th Street West to MOAH,\xa0..."", 'As City Manager, Mr. Caudle has set his sights on leading City staff to implement a number of innovative projects, from Smart City initiatives to public\xa0...', 'MOXA Case Study Smart City graphic. Footer-FB@2x Footer-IG@2x Footer-LI@2x Footer-RSS@2x Footer-Tw@2x Footer-YT@2x. 44933 Fern Avenue, Lancaster, CA 93534', 'Today, the Lancaster Auto Mall is better than ever before. Jason Caudle, City Manager. “ Page 2. SMART CITY.', 'Nov 10, 2020 ... ... with a “smart” city in Japan which is equally devoted to integrating hydrogen into its power grid, fuel distribution, storage, and use.', 'Jun 30, 2019 ... In addition to smart infrastructure, data is a powerful asset for every smart city. Lancaster is collaborating.', 'SMART CITY INITIATIVES. Lancaster is evolving into a smart city – one that leverages technology to improve the quality of life of its residents.']",1,1,"Numerous examples of smartcity applications, including ongoing discussions."
G06040354,1,['SHORT-TERM VACATION RENTAL PROGRAM AD-HOC ...'],['https://www.laquintaca.gov/home/showpublisheddocument/44050/637351601940630000'],"['Aug 6, 2020 ... Karen Parnell on behalf of Smart City Solutions – educational information for STVRs. CONFIRMATION OF AGENDA – Confirmed. CONSENT CALENDAR.']",1,0,General discussion
G06040438,1,"['Regional Projects | Larkspur, CA - Official Website']",['https://www.ci.larkspur.ca.us/657/Regional-Projects'],['SMART Larkspur Extension Project. Location: between downtown San Rafael and Larkspur. SMART Train Over Haystack Opens in new window.'],1,0,Name of transit
G06041992,1,"['Site Map • San Leandro, CA • CivicEngage']",['http://www.cityoflivermore.net/citygov/cd/building'],"['Oct 20, 2021 ... Monarch Bay Golf · San Leandro sUAS Flights · Smart City San Leandro · Projects · The Future · News · Solid Waste & Recycling.']",1,0,More about recycling
G06043000,22,"['Community Engagement in Smart City Development | Data-Smart ...', 'Smart City Lessons from 4 Southern California CIOs', 'A strategic plan for exploring and implementing emerging technology', ""Finalists Named in IDC Government Insights' Fifth Annual Smart ..."", 'A Smart City for ALL', 'Long Beach AR Exhibition', 'Long Beach AR Challenge Winners Announced', 'Community Engagement During COVID-19 | Data-Smart City Solutions', 'Projects - Smart City Initiative', 'Civic Innovation Corps', 'One Number', 'Long Beach AR Challenge', 'City of Long Beach Partners With Verizon to Bring Advanced ...', 'Anaheim Street Collider - Smart City Initiative', 'City of Long Beach', 'City of Long Beach Opens Augmented Reality Challenge for ...', 'City of Long Beach', 'Long Beach Augmented Reality (AR) Exhibition Challenges ...', 'City of Long Beach Partners with Mercedes-Benz Research ...', 'Long Beach Ranks First Nationwide as a 2021 Top Digital City', 'AR CHALLENGE & EXHIBITION REPORT', 'Technology and Innovation Department']","['https://www.longbeach.gov/find_v2/_click?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3D%3D&_t_q=washington+post&_t_tags=language:en%2Csiteid:94954c0f-e16a-468a-820a-a11809373f86&_t_ip=66.249.79.43&_t_hit.id=CLB_Web_Models_Pages_DepartmentNewsPage/_2bf83611-0ab6-4846-9b89-092ffcef291c_en&_t_hit.pos=64&_t_redirect=https%3A%2F%2Fdatasmart.ash.harvard.edu%2Fcommunity-engagement-smart-city-development', 'https://www.longbeach.gov/find_v2/_click?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3D%3D&_t_q=swim+lessons+&_t_tags=language:en%2Csiteid:94954c0f-e16a-468a-820a-a11809373f86&_t_ip=66.249.79.37&_t_hit.id=CLB_Web_Models_Pages_DepartmentNewsPage/_c3be6c2d-5dfe-4e5a-ad86-e629608216e1_en&_t_hit.pos=2&_t_redirect=https%3A%2F%2Fwww.govtech.com%2Fsmart-cities%2FSmart-City-Lessons-from-4-Southern-California-CIOs.html', 'https://www.longbeach.gov/globalassets/smart-city/media-library/documents/smart-city-initiative-strategy---approved', 'https://www.longbeach.gov/find_v2/_click?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3D%3D&_t_q=what+are+the+watering+days+&_t_tags=language:en%2Csiteid:94954c0f-e16a-468a-820a-a11809373f86&_t_ip=66.249.79.43&_t_hit.id=CLB_Web_Models_Pages_DepartmentNewsPage/_0100f22a-463c-48c7-adde-2654fac7bd36_en&_t_hit.pos=240&_t_redirect=https%3A%2F%2Fwww.idc.com%2Fgetdoc.jsp%3FcontainerId%3DprUS48926722', 'https://www.longbeach.gov/district1/news/a-smart-city-for-all/', 'https://www.longbeach.gov/smartcity/news/lb-ar-exhibition-event/', 'https://www.longbeach.gov/smartcity/news/lb-ar-exhibition-winners/', 'https://www.longbeach.gov/find_v2/_click?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3D%3D&_t_q=protester&_t_tags=language:en%2Csiteid:94954c0f-e16a-468a-820a-a11809373f86&_t_ip=66.249.79.213&_t_hit.id=CLB_Web_Models_Pages_DepartmentNewsPage/_c7a66480-691d-44c4-9b30-6626c09c4cda_en&_t_hit.pos=6&_t_redirect=https%3A%2F%2Fdatasmart.ash.harvard.edu%2Fnews%2Farticle%2Fcommunity-engagement-during-covid-19', 'https://www.longbeach.gov/smartcity/projects/', 'https://www.longbeach.gov/smartcity/projects/civic-innovation-corps/', 'https://www.longbeach.gov/smartcity/projects/one-number/', 'https://www.longbeach.gov/smartcity/projects/long-beach-ar-challenge/', 'https://www.longbeach.gov/press-releases/city-of-long-beach-partners-with-verizon-to-bring-advanced-wireless-connectivity-to-long-beach/', 'https://www.longbeach.gov/smartcity/projects/anaheim-st/', 'https://www.longbeach.gov/search/?searchtext=tid', 'https://www.longbeach.gov/press-releases/city-of-long-beach-opens-augmented-reality-challenge-for-submissions/', 'https://www.longbeach.gov/search/?searchtext=cio', 'https://www.longbeach.gov/press-releases/long-beach-augmented-reality-ar-exhibition-challenges-developers-to-compete-for-$14000-prize/', 'https://www.longbeach.gov/press-releases/city-of-long-beach-partners-with-mercedes-benz-research--development-north-america-and-xtelligent-to-revolutionize-urban-mobility-through-connected-vehicle-data/', 'https://www.longbeach.gov/press-releases/long-beach-ranks-first-nationwide-as-a--2021-top-digital-city/', 'https://www.longbeach.gov/globalassets/smart-city/media-library/documents/ar-challenge-exhibition-report-2021_final', 'https://www.longbeach.gov/ti/']","['Mar 7, 2022 ... So how can residents be expected to knowledgeably engage on smart city topics with their local governments when it feels like no one can\xa0...', 'Feb 13, 2020 ... Chief information officers from four cities discussed their approaches to smart city technology during the Laserfiche Empower conference Feb\xa0...', 'Jan 1, 2021 ... engaged in a year-long process to develop a strategy for its Smart City Initiative (SCI). Context. Long Beach Smart City Initiative |.', 'Mar 7, 2022 ... 38 municipalities recognized for success in leveraging emerging technology and innovation to support Smart City initiatives.', 'As we develop smart city technologies and cultivate an innovation ecosystem, we must leverage these resources to bridge the digital divide and make our\xa0...', 'Jul 8, 2021 ... Smart City Initiative ... information about the AR Challenge visit: https://www.longbeach.gov/smartcity/projects/long-beach-ar-challenge/.', 'Aug 9, 2021 ... We have recently launched the Smart City Initiative Newsletter via LinkLB! We will now be sharing updates regarding the Smart City\xa0...', 'Sep 29, 2020 ... Betsy Gardner is the editor of Data-Smart City Solutions and the producer of the Data-Smart City Pod. Prior to joining the Ash Center,\xa0...', 'We will now be sharing updates regarding the Smart City Initiative and opportunities for partnerships through this centralized communication channel.', 'We will now be sharing updates regarding the Smart City Initiative and opportunities for partnerships through this centralized communication channel.', 'We will now be sharing updates regarding the Smart City Initiative and opportunities for partnerships through this centralized communication channel.', 'Smart City Initiative · What is the time commitment? · What makes for a strong application? · Why should I apply? · Can I propose another AR technology/platform as\xa0...', 'Jan 15, 2021 ... Agreement to Advance Digital Inclusion, Deployment of Small Cell Wireless Network and Smart City Solutions. Contact: Kevin Lee', '... and Long Beach residents to form the Anaheim Street Collider for the Smart City Initiative - a series of visioning workshops to make the Anaheim Street\xa0...', 'URL/smartcity/news/update-on-smart-city-initiative/ · Collective Impact Structure - Digital Inclusion Stakeholder Committee Document.', 'Mar 22, 2021 ... “The Long Beach AR Challenge is aligned with the Smart City LB Initiative, recently approved by City Council, in that it aims to cultivate local\xa0...', 'Smart City Lessons from 4 Southern California CIOs Chief information officers from four Southern California.', ""Jul 26, 2021 ... “The AR Challenge is part of Long Beach's Smart City Initiative and in alignment with the recently launched Long Beach Accelerator and is\xa0..."", ""Sep 23, 2021 ... The project is also part of Long Beach's Smart City Initiative to leverage data and technology as strategic tools to solve challenges and\xa0..."", 'Nov 16, 2021 ... This award demonstrates how investing in technology is foundational to creating a resilient, responsive and smart city.”.', ""The Long Beach AR Challenge and Exhibition was guided by the City's Smart City · Guiding Principles. The accessibility of the Challenge to teams of all\xa0..."", 'Technology Modernization Initiatives Strategic Planning GIS Maps & Data GO Long Beach Apps Digital Inclusion Smart City Initiative Current Job Opportunities\xa0...']",1,1,"Numerous examples of smartcity applications, including ongoing discussions."
G06043294,1,"['WHEREAS, the City Council of the Town of Los Altos Hills wishes to ...']",['https://www.losaltoshills.ca.gov/DocumentCenter/View/80/Standing-Committees-Resolution-PDF'],"['Provide policy guidance on the implementation of ""Smart City"" policies focusing on areas such as cyber security, promoting digital inclusion, improving.']",1,1,Interested in taking next steps
G06044000,1,['Untitled'],['https://www.lacity.org/sites/g/files/wph1706/files/2021-08/ITA%20%26%20Korea%20MOU.pdf'],"['pursuing smart city strategies and approaches; Whereas, Seoul and Los Angeles want to strengthen their close and ongoing collaboration based on the\xa0...']",1,0,"Page no longer exists, from city of LA"
G06045246,1,['Council Agenda Report'],['https://www.malibucity.org/AgendaCenter/ViewFile/Item/4656?fileID=18173'],"['Jan 11, 2021 ... Senior Planner for similar wireless communications facilities, smart city, and plan review initiatives, including for Jurupa Valley and\xa0...']",1,1,active investments in smartcity tech
G06045400,1,['18-0416 - Fiber Master Plan'],['https://www.citymb.info/home/showdocument?id=39490'],['Smart City. Technologies and the Internet of Things (IoT)2 are growing trends that will change the way cities carry out their.'],1,1,Mentioned in fiber master plan
G06045484,2,"['City of Manteca Request for Proposal (RFP)', '2019 - 2024 - Comprehensive Economic Development Strategy']","['https://www.ci.manteca.ca.us/RFPFiles/RFP%20Manteca%20Fiber%20Master%20Plan%20v.3.pdf', 'https://www.ci.manteca.ca.us/CommunityDevelopment/EconomicDevelopment/PublishingImages/Pages/Default/CEDS%20Cover_2019-2024_Web.pdf']","['Feb 5, 2020 ... Recommend future smart city applications of a city-wide fiber network. • Recommend an appropriate business model for maintaining the network\xa0...', 'Cities without this infrastructure are limited in their efforts to implement any Smart City initiatives and their economic development competitiveness is\xa0...']",1,1,Active investments in smartcity tech
G06046842,1,['NEWS RELEASE'],['https://www.cityofmenifee.us/Archive/ViewFile/Item/3072'],"[""May 27, 2021 ... This new role is essential to implement Menifee's smart city initiative and to prevent and fight against cyber-security attack issues that are\xa0...""]",1,1,Self declared smartcity
G06046870,2,"['Untitled', ""City Manager's Office""]","['https://www.menlopark.org/Archive/ViewFile/Item/12119', 'https://www.menlopark.org/DocumentCenter/View/21563/19-004-SCC-Staff-Report---Letter-and-Introduction-from-Seongdong-Gu-South-Korea-with-attachments']","['Nov 5, 2019 ... various advanced data, sensor and smart city automation extensions (leak detection, customer presentment, pressure monitoring, etc.)\xa0...', 'May 15, 2019 ... exchanges on issues of mutual interest, such as economy or smart city. Furthermore, I respectfully suggest friendly exchanges with your city\xa0...']",1,1,Active investments in smartcity tech
G06046898,2,"['Merced City Council Designated Representative - 2021', '2022 PFIF Color Fact Sheet-Project List & Fee Schedule.pub']","['https://www.cityofmerced.org/home/showpublisheddocument/13776/637478707522070000', 'https://www.cityofmerced.org/home/showpublisheddocument/16285/637820068507600000']","['Smart City & Citywide Wi-Fi. Transportation. Blake, Boyle,. Serratto. Rail – HSR/ACE/Amtrak. Regional Airport Authority (monthly). Measure V/SB 1.', 'Mar 26, 2022 ... New Corporation Yard. Information Technology: ♢ Smart City Technology for. New Fire and Police Sta- tions and Public Works.']",1,1,Active investments in smartcity tech
G06047766,3,"['Milpitas Matters_Earth Month', 'Sustainability – City of Milpitas', 'Newsroom – City of Milpitas']","['https://www.ci.milpitas.ca.gov/_pdfs/Cmcommunications/Website/MilpitasMatters/MilpitasMatters_040822.pdf', 'https://www.ci.milpitas.ca.gov/milpitas/departments/public-works-department-home-page/sustainability/', 'https://www.ci.milpitas.ca.gov/newsroom/']","['Apr 30, 2022 ... the plan is a Smart City infrastructure Program, which is expected to save the city over $1.5 million in energy and water costs per year,\xa0...', ""Greening City Facilities. The City's is implementing actions to conserve and generate clean energy and save water. Milpitas Smart City."", ""04/20: City of Milpitas Achieved Project Milestones in the City's Ambitious Smart City Infrastructure Program. 04/07: City of Milpitas Awarded Over $1.08\xa0...""]",1,1,Active investments in smartcity tech
G06048256,1,['Technology Initiatives | City of Mission Viejo'],['https://cityofmissionviejo.org/departments/information-technology/technology-projects'],['Conducted technology assessment for an updated Strategic Technology and Smart City Plan. Completed RFP for new Land Management Software Solutions (LMS).'],1,0,rfp
G06048354,1,"['Blog • Modesto, CA • CivicEngage']",['https://www.modestogov.com/Blog.asp?IID=67'],"['Nov 12, 2020 ... A smart city uses information and communications technology to enhance its livability, workability, and sustainability by collecting data about\xa0...']",1,1,active investments in smartcity tech
G06048648,3,"['#digital - Twitter Search / Twitter', 'City of Monrovia Welcomes New Public Works Director | City News ...', 'Monrovia Prepares | City of Monrovia']","['http://www.cityofmonrovia.org/?splash=http%3A%2F%2Ftwitter.com%2Fhashtag%2FDigital%3Fsrc%3Dhash&____isexternal=true', 'https://www.cityofmonrovia.org/Home/Components/News/News/3156/1901?backlist=%2F', 'https://www.cityofmonrovia.org/your-government/fire-department/disaster-preparedness/monrovia-prepares']","['""#Klimaneutral und #digital"" – alle Kölner*innen sind zur #SmartCity Cologne Konferenz eingeladen! Sie findet am Samstag von 16 -19 Uhr im Atrium der.', 'May 12, 2022 ... ... at Highway 101/135 and the completion of the city owned Gigabit fiber optic ring to enable Smart City technology deployment citywide.', ""Animal Rescue Shelters. Dr. Domotor's Animal House Veterinary Hospital · Pasadena Humane Society & SPCA · Pet Smart Monrovia · Wonder Dog Ranch\xa0...""]",1,0,Dead link
G06049138,3,"['city of moorpark request for proposals for development of a ...', 'City of Moorpark 2019 Annual Report', 'City of Moorpark 2020 Annual Report']","['https://www.moorparkca.gov/DocumentCenter/View/9355/Request-for-Proposals-for-Development-of-a-Broadband-Strategic-Plan?bidId=', 'https://www.moorparkca.gov/DocumentCenter/View/10930/City-of-Moorpark-2019-Annual-Report', 'https://www.moorparkca.gov/DocumentCenter/View/12183/City-of-Moorpark-2020-Annual-Report']","['Jul 19, 2019 ... deploying future “Smart City” initiatives. The Broadband Strategic Plan is intended to identify specific actions and projects that the City\xa0...', 'Facilitate development of housing options for all income levels. Implement “smart city” strategies. Enhance public safety resources. → Present for Council.', 'Oct 7, 2020 ... Smart City and other strategies. Evaluate and deploy tools for adaptive reuse of vacant and existing underutilized.']",1,1,Active investments in smartcity tech
G06049187,4,"['MORAGA TOWN COUNCIL MEETING NOVEMBER 18, 2020', 'MORAGA TOWN COUNCIL MEETING MAY 12, 2021', 'MORAGA TOWN COUNCIL MEETING JUNE 23, 2021', 'MORAGA TOWN COUNCIL MEETING JUNE 23, 2021']","['https://www.moraga.ca.us/DocumentCenter/View/5448/11-18-20-Correspondence-Use-of-Councilmember-Titles-PDF', 'https://www.moraga.ca.us/DocumentCenter/View/5903/05-12-21-Correspondence-for-Letter-of-Opposition-to-MOFD-Board-PDF', 'https://www.moraga.ca.us/DocumentCenter/View/6066/06-23-21-Correspondence-Received-for-Wedgewood-Lease-Agreement-PDF', 'https://www.moraga.ca.us/DocumentCenter/View/6067/06-23-21-Correspondence-for-Mulberry-Tree-Preschool-Lease-PDF']","['Nov 18, 2020 ... Cc: editor@smartmoraga.com. Subject: Agenda Item 7 - Public Comment (Use of Councilmember Titles). Importance: High.', 'May 12, 2021 ... From: SMARTMoraga Community <community@smartmoraga.com>. Sent: Wednesday, May 12, 2021 8:56 AM. To: Mike McCluer <mmccluer@moraga.ca.us>;\xa0...', 'Jun 23, 2021 ... SMARTMoraga just released an article on this (there also was one ... https://www.smartmoraga.com/single-post/proposed-hacienda-lease-mods-.', 'Jun 23, 2021 ... Preschool lease terms. In case you may not be aware, https://www.smartmoraga.com/single-post/town-s-perplexing-negotiating-position-.']",1,0,Just discussions
G06049270,2,"['4 Circulation | City of Moreno Valley', '4.16 Transportation']","['https://www.moval.org/city_hall/general-plan2040/04-Circulation.pdf', 'https://www.moval.org/cdd/documents/general-plan-update/draft-docs/DEIR-PDFs/4-16_Transportation.pdf']","['autonomous vehicles and smart city integration. The City of Moreno Valley currently has an Advanced. Traffic Management System (ATMS) that allows staff.', 'smart city integration. The City currently has an Advanced Traffic Management System (ATMS) that allows staff to monitor traffic at strategic locations\xa0...']",1,1,Smartstreets
G06050076,1,['CITY OF MURRIETA ECONOMIC DEVELOPMENT SWOT ...'],['https://www.murrietaca.gov/DocumentCenter/View/262/Economic-Development-Strategic-Plan-PDF'],['Research viability of Smart City Transportation opportunities. • Market the centrality of Murrieta and its proximity to major markets.'],1,1,Interested in taking next steps
