GISJOIN,link
G04046000,"['https://www.mesaaz.gov/government/smart-city', 'https://www.mesaaz.gov/government/smart-city/smart-mesa-today', 'https://www.mesaaz.gov/government/smart-city/updates/building-a-smarter-mesa-citizen-innovator-forum', 'https://www.mesaaz.gov/government/smart-city/smart-priorities/building-the-foundation', 'https://www.mesaaz.gov/government/smart-city/smart-priorities', 'https://www.mesaaz.gov/government/smart-city/updates', 'https://www.mesaaz.gov/government/smart-city/smart-priorities/smart-downtown', 'https://www.mesaaz.gov/government/smart-city/privacy-principles', 'https://www.mesaaz.gov/government/smart-city/smart-priorities/smart-environment', 'https://www.mesaaz.gov/government/smart-city/smart-priorities/smart-transportation-and-mobility', 'https://www.mesaaz.gov/government/smart-city/smart-priorities/smart-public-safety', 'https://www.mesaaz.gov/Home/Components/News/News/7627/', 'https://www.mesaaz.gov/government/smart-city/smart-priorities/building-the-foundation/smart-metering-frequently-asked-questions', 'https://www.mesaaz.gov/Home/Components/News/News/7464/', 'https://www.mesaaz.gov/residents/water/your-water-meter', 'https://www.mesaaz.gov/', 'https://www.mesaaz.gov/government/news/-selcat-72/-npage-7', 'https://www.mesaaz.gov/government/site-map', 'https://www.mesaaz.gov/?utm_medium=email&utm_source=govdelivery', 'https://www.mesaaz.gov/government/innovation-technology', 'https://www.mesaaz.gov/government/innovation-technology', 'https://www.mesaaz.gov/residents/emergencies-power-outages/outage-management-system-faq', 'https://www.mesaaz.gov/business/purchasing', 'https://www.mesaaz.gov/home/showpublisheddocument/33834/636933395843630000', 'https://www.mesaaz.gov/residents/streets-transportation/traffic-counts', 'https://www.mesaaz.gov/government/public-records-requests', 'https://www.mesaaz.gov/government/contact-us', 'https://www.mesaaz.gov/residents/environmental/climate-action-plan', 'https://www.mesaaz.gov/things-to-do/calendar-of-events', 'https://www.mesaaz.gov/Home/Components/News/News/7974/16', 'https://www.mesaaz.gov/Home/Components/News/News/7075/16', 'https://www.mesaaz.gov/government/employee-benefits/retiree/recom', 'https://www.mesaaz.gov/things-to-do/calendar-of-events/-curdate-8-30-2022/-curm-8/-cury-2022', 'https://www.mesaaz.gov/government', 'https://www.mesaaz.gov/government/diversity-initiatives/diversity-programs', 'https://www.mesaaz.gov/residents/education-workforce-office', 'https://www.mesaaz.gov/Home/Components/Calendar/Event/12008/1344', 'https://www.mesaaz.gov/Home/Components/Calendar/Event/12848/1344?backlist=%2F', 'https://www.mesaaz.gov/Home/Components/Calendar/Event/12846/1344?backlist=%2F', 'https://www.mesaaz.gov/residents/animal-control/informative-videos']"
G04054050,"['https://www.peoriaaz.gov/home/showpublisheddocument/23898/637236033896700000', 'https://www.peoriaaz.gov/home/showpublisheddocument/27828/637855314087030000']"
G04055000,"['https://www.phoenix.gov/piosite/Documents/PHXConnect%20June%2008,%202016.pdf', 'https://www.phoenix.gov/streetssite/Documents/SmartCitiesWorld.pdf', 'https://www.phoenix.gov/newsroom/information-technology-services/751', 'https://www.phoenix.gov/newsroom/information-technology-services/748', 'https://www.phoenix.gov/piosite/Documents/CC082615.pdf', 'https://www.phoenix.gov/cityclerksite/City%20Council%20Meeting%20Files/WED%20Minutes%20April%2028,%202021.pdf', 'https://www.phoenix.gov/district3site/Documents/15.10.29;%20Newsletter.pdf', 'https://www.phoenix.gov/newsroom/information-technology-services/856', 'https://www.phoenix.gov/newsroom/mayors-office/2349', 'https://www.phoenix.gov/newssite/Pages/Story-Copy.aspx?TermStoreId=a454a14f-8e8a-49c8-9ea4-facf985401e3&TermSetId=3a3d55a1-ff7b-42d1-aaa8-2bf1fae0915a&TermId=75edea6e-32ba-44a2-8167-36aff6a2a8b4&UrlSuffix=2017Police8/7/2021', 'https://www.phoenix.gov/newsroom/phoenix-convention-center/2497', 'https://www.phoenix.gov/Documents/Phoenix%20is%20HOT%20for%20Technology.pdf', 'https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00550%20(2).pdf', 'https://www.phoenix.gov/cityclerksite/PublicMeetings/220420002.pdf', 'https://www.phoenix.gov/newsroom', 'https://www.phoenix.gov/', 'https://www.phoenix.gov/newsroom/human-services/2495', 'https://www.phoenix.gov/newsroom/environmental-programs/2467', 'https://www.phoenix.gov/mayorsite/Documents/2016%20SOTC.pdf', 'https://www.phoenix.gov/newsroom/city-manager/2060', 'https://www.phoenix.gov/newsroom/neighborhood-services/2223', 'https://www.phoenix.gov/newsroom/city-manager/2253', 'https://www.phoenix.gov/newsroom/environmental-programs/2435', 'https://www.phoenix.gov/newsroom/environmental-programs/2201', 'https://www.phoenix.gov/newsroom/information-technology-services/2139', 'https://www.phoenix.gov/newsroom/city-manager/2477', 'https://www.phoenix.gov/newsroom/human-services/2122', 'https://www.phoenix.gov/newsroom/police/2259', 'https://www.phoenix.gov/newsroom/library/1847', 'https://www.phoenix.gov/newsroom/planning-and-development/2461', 'https://www.phoenix.gov/heat', 'https://www.phoenix.gov/newsroom/water-services/2234', 'https://www.phoenix.gov/newsroom/library/2133', 'https://www.phoenix.gov/newsroom/city-clerk/2327', 'https://www.phoenix.gov/newsroom/environmental-programs/2321', 'https://www.phoenix.gov/newsroom/library/2025', 'https://www.phoenix.gov/newsroom/city-manager/2108', 'https://www.phoenix.gov/newsroom/housing/1780', 'https://www.phoenix.gov/newsroom/fire/1004', 'https://www.phoenix.gov/newsroom/public-works/2394', 'https://www.phoenix.gov/newsroom/city-manager/2214', 'https://www.phoenix.gov/newsroom/public-transit/2120', 'https://www.phoenix.gov/newsroom/environmental-programs/2267', 'https://www.phoenix.gov/newsroom/water-services/2363', 'https://www.phoenix.gov/newsroom/parks-and-recreation/2413', 'https://www.phoenix.gov/newsroom/human-services/2285', 'https://www.phoenix.gov/newsroom/parks-and-recreation/2381', 'https://www.phoenix.gov/newsroom/city-clerk/2488', 'https://www.phoenix.gov/newsroom/city-manager/2073', 'https://www.phoenix.gov/newsroom/environmental-programs/2129', 'https://www.phoenix.gov/newsroom/city-manager/2132', 'https://www.phoenix.gov/newsroom/environmental-programs/2197', 'https://www.phoenix.gov/newsroom/environmental-programs/2388', 'https://www.phoenix.gov/newsroom/city-manager/2046', 'https://www.phoenix.gov/newsroom/parks-and-recreation/2476', 'https://www.phoenix.gov/newsroom/phxtv/2391', 'https://www.phoenix.gov/newsroom/ced/1168', 'https://www.phoenix.gov/newsroom/phxtv/2409', 'https://www.phoenix.gov/newsroom/public-transit/2306', 'https://www.phoenix.gov/newsroom/district-5/2408', 'https://www.phoenix.gov/newsroom/environmental-programs/2178', 'https://www.phoenix.gov/newsroom/street-transportation/2366', 'https://www.phoenix.gov/newsroom/budget-and-research/1913', 'https://www.phoenix.gov/newsroom/education/1869', 'https://www.phoenix.gov/newsroom/public-transit/1078', 'https://www.phoenix.gov/newsroom/environmental-programs/2224', 'https://www.phoenix.gov/newsroom/district-7/2419', 'https://www.phoenix.gov/newsroom/housing/1229', 'https://www.phoenix.gov/newsroom/street-transportation/2418', 'https://www.phoenix.gov/newsroom/water-services/1841', 'https://www.phoenix.gov/newsroom/district-5/2422', 'https://www.phoenix.gov/newsroom/water-services/1675', 'https://www.phoenix.gov/newsroom/education/246', 'https://www.phoenix.gov/newsroom/human-services/2266', 'https://www.phoenix.gov/newsroom/finance/1669', 'https://www.phoenix.gov/newsroom/street-transportation/2217', 'https://www.phoenix.gov/newsroom/fire/2446', 'https://www.phoenix.gov/newsroom/environmental-programs/2312', 'https://www.phoenix.gov/newsroom/ced/1781', 'https://www.phoenix.gov/newsroom/district-1/2262', 'https://www.phoenix.gov/newsroom/city-manager/2367', 'https://www.phoenix.gov/newsroom/police/2238', 'https://www.phoenix.gov/newsroom/city-manager/1852', 'https://www.phoenix.gov/newsroom/public-works/2471', 'https://www.phoenix.gov/newsroom/article/2251', 'https://www.phoenix.gov/newsroom/ced/1887', 'https://www.phoenix.gov/newsroom/police/2397', 'https://www.phoenix.gov/newsroom/police/2377', 'https://www.phoenix.gov/newsroom/police/1955', 'https://www.phoenix.gov/newsroom/police/2351', 'https://www.phoenix.gov/newsroom/city-manager/1967', 'https://www.phoenix.gov/newsroom/ced/1927', 'https://www.phoenix.gov/newsroom/street-transportation/2441', 'https://www.phoenix.gov/newsroom/article/1998', 'https://www.phoenix.gov/newsroom/police/2415', 'https://www.phoenix.gov/newsroom/article/2188', 'https://www.phoenix.gov/newsroom/article/2385', 'https://www.phoenix.gov/newsroom/public-works/2455', 'https://www.phoenix.gov/newsroom/phxtv/2337', 'https://www.phoenix.gov/newsroom/public-transit/2116']"
G04058150,['https://www.queencreek.org/home/showpublisheddocument?id=33575']
G04065000,"['https://www.scottsdaleaz.gov/performance/smart-city', 'https://www.scottsdaleaz.gov/news/scottsdale-workshop-explores-smart-city-solutions', 'http://www.scottsdaleaz.gov/Asset84354.aspx', 'http://www.scottsdaleaz.gov/Asset81621.aspx', 'https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/News/News+Images/smart-city-stream.pdf', 'https://www.scottsdaleaz.gov/asset79233.aspx', 'https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/Performance+Management/FY-2021-22_HPIT_Annual_Action_Plan.pdf', 'https://www.scottsdaleaz.gov/news', 'https://www.scottsdaleaz.gov/asset85192.aspx', 'http://www.scottsdaleaz.gov/Asset84356.aspx', 'https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/Sustainable+Scottsdale/Plan/Community+Workshop+Report.pdf', 'http://www.scottsdaleaz.gov/Asset79972.aspx', 'https://www.scottsdaleaz.gov/asset79222.aspx', 'http://www.scottsdaleaz.gov/Asset85361.aspx', 'https://www.scottsdaleaz.gov/site-map', 'http://www.scottsdaleaz.gov/Asset79285.aspx', 'http://www.scottsdaleaz.gov/Asset85705.aspx', 'http://www.scottsdaleaz.gov/Asset66462.aspx', 'http://www.scottsdaleaz.gov/Asset77840.aspx', 'https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/Boards/Trails/agendas-minutes/2022-Agendas/02-01-22+Agenda+Packet.pdf', 'http://www.scottsdaleaz.gov/Asset84336.aspx', 'https://www.scottsdaleaz.gov/Assets/ScottsdaleAZ/Council/archive-agendas-minutes/2017-transcripts/1-0517ClosedCaptionTranscript.pdf', 'http://www.scottsdaleaz.gov/Asset66397.aspx', 'http://www.scottsdaleaz.gov/Asset82800.aspx']"
G04077000,"['https://www.tucsonaz.gov/jobs', 'https://www.tucsonaz.gov/files/transit/3_Draft_Minutes_111317.pdf', 'https://www.tucsonaz.gov/files/oeop/CultureMap_Letter.pdf', 'https://www.tucsonaz.gov/files/pdfs/ChiefEquityOfficerCOT.pdf', 'https://www.tucsonaz.gov/files/hr/recruitments/Community_Safety_Health_Wellness_Program_Director_Job_Announcement_10.22.2021.pdf', 'https://www.tucsonaz.gov/files/clerks/uploads/bccfiles/20878.pdf']"
G04085400,"['https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/AllArchives/Ordinances/Ord.%202020-01%20Title%208%20Public%20Nuisance%20-%20Pigeons.pdf', 'https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/Our%20Services/TownClerk/Ordinances/2022/Ord.%202022-03%20Rezoning%20Ordinance%20to%20RNC%20-%20Barress%205-27-22.pdf', 'https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/Our%20Services/TownClerk/Ordinances/2020/Ord.%202020-05%20%20Recreational%20Marijuana%20Final.pdf', 'https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/Our%20Services/TownClerk/Ordinances/2022/Ord.%202022-02%20%20Z2022-02%20Ordinance%20Enclave%20Off%20Olive%20Agua%20Fria%20Ranch%20PAD%20-%20Amendment%20to%20Conditions%20of%20Development.pdf', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=18630848', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=18747561', 'https://www.youngtownaz.org/our_services/community_development/requests_for_proposal___bid_opportunities', 'https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/Our%20Services/TownClerk/Ordinances/2021/Ord.%202021-03%20Adopting%20Updated%20Building%20Codes.pdf', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=18813338', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=18404183', ""https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/AllArchives/PlanningandZoningHearingAgendas/2022/0Z2022-01%20%20%20%20%20%202%2015%202022%20%20Citizens'%20Review%20for%20Subdivisions%20Signs.pdf"", 'https://www.youngtownaz.org/covid-19', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=18367981', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=18367983', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=16736177', 'https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/Our%20Services/PublicWorks/RFP_RFB/Youngtown%202020%20Library%20Addition.pdf', 'https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/AllArchives/TownCouncilMinutes/2021/09%2016%202021%20Minutes%20Final.pdf', 'https://www.youngtownaz.org/UserFiles/Servers/Server_12608991/File/AllArchives/TownCouncilMinutes/2022/04%2007%202022%20Minutes%20Final.pdf', 'https://www.youngtownaz.org/common/pages/DisplayFile.aspx?itemId=17116618']"
G04085540,['https://www.yumaaz.gov/home/showpublisheddocument/686/637315148192930000']
G05009460,['https://www.cityofbryant.com/grab/documents/document_center/Planning%20and%20Zoning/City%20of%20Bryant%20MASTER%20STREET%20LIGHTING%20PLAN.pdf']
G05010300,"['https://www.cabotar.gov/DocumentCenter/View/462/Strategic-Planning-Infrastructure-and-Community-Development--2018---2050-PDF', 'https://www.cabotar.gov/DocumentCenter/View/514/Current-Major-Projects-PDF']"
G05023290,"['https://www.fayetteville-ar.gov/1991/Digital-Infrastructure', 'https://www.fayetteville-ar.gov/DocumentCenter/View/24582']"
G05041720,['http://www.lowellarkansas.gov/departments/Community-Development/pdfs/Vision_100_Rogers_and_Lowell.pdf']
G05060410,['https://www.rogersar.gov/1279/Vision-100']
G06000562,"['https://www.alamedaca.gov/files/assets/public/departments/alameda/transportation/smart-city-master-plan/211210-alameda-smart-city-master-plan_draft.pdf', 'https://www.alamedaca.gov/files/assets/public/publicworks/alameda-cip-our-road-to-resiliency-final.pdf', 'https://www.alamedaca.gov/files/assets/public/departments/alameda/transportation/tcp/annualreporttranspo_jan2021_final.pdf', 'https://www.alamedaca.gov/files/assets/public/departments/alameda/transportation/quarterlyreports/statusreporttransportation_may2021.pdf', 'https://www.alamedaca.gov/Departments/Planning-Building-and-Transportation/Transportation', 'https://www.alamedaca.gov/files/assets/public/alameda-pio/final-2021-22-legislative-agenda-with-cc-changes.pdf', 'https://www.alamedaca.gov/files/assets/public/departments/alameda/econ-dev-amp-comm-services/business/ex.-1-annual-report-for-park-street-bia-2022.pdf']"
G06002000,"['https://www.anaheim.net/DocumentCenter/View/24021/SMART-CITY-ANAHEIM_FINAL', 'https://www.anaheim.net/Directory.aspx?did=184', 'https://www.anaheim.net/DocumentCenter/View/3284/Smart-City-Brochure-', 'https://www.anaheim.net/directory.aspx?EID=768', 'https://www.anaheim.net/1918/Contact-Us', 'https://www.anaheim.net/5906/Services', 'https://www.anaheim.net/DocumentCenter/View/3266/General-Policies-Rules-and-Regulations-?bidId=', 'https://www.anaheim.net/DocumentCenter/View/35657/Grand-Plaza-Guidelines', 'https://www.anaheim.net/DocumentCenter/View/3269', 'https://www.anaheim.net/DocumentCenter/View/35656/Facility-Guide', 'https://www.anaheim.net/DocumentCenter/View/31014/C3-Vision-Plan']"
G06002252,['https://www.antiochca.gov/fc/purchasing/bids/rfp-112221.pdf']
G06003526,['https://www.bakersfieldcity.us/asset/319bac29-84be-4383-8d85-dc79f5122da9']
G06006308,"['https://www.beverlyhills.org/cbhfiles/storage/files/5852276711676077809/SignedAgendaandMaterials.pdf', 'https://www.beverlyhills.org/cbhfiles/storage/files/635349331842110207/1.11.19HighlightswithFINAL.pdf', 'https://www.beverlyhills.org/cbhfiles/storage/files/filebank/7388--InFocus_August10_Final.pdf', 'https://www.beverlyhills.org/cbhfiles/storage/files/7327757881202719470/ChamberofCommerceLiaisonAgendaPacket12-20-17.PDF', 'https://www.beverlyhills.org/exploring/centennialcelebration/', 'https://www.beverlyhills.org/cbhfiles/storage/files/4570082531957868190/DOC001.PDF', 'https://www.beverlyhills.org/application/lobbyist/search.jsp?action=search']"
G06008786,['https://www.buenapark.com/Document_center/City%20Departments/Public%20Works/Engineering%20Services/Complete%20Streets/Buena_Park_Complete_Street.pdf']
G06008954,"['https://www.burbankca.gov/web/information-technology/kevin-gray-bio', 'https://www.burbankca.gov/newsroom/-/newsdetail/20124/burbank-water-and-power-named-winner-in-government-insights-fifth-annual-smart-cities-north-america-awards']"
G06009598,['https://www.cityofcalabasas.com/home/showpublisheddocument/22507/637713637455573862']
G06011194,['https://www.carlsbadca.gov/home/showpublisheddocument/5725/637563291791670000']
G06011530,"['https://ci.carson.ca.us/content/files/pdfs/publicworks/CIP2022-23-Book.pdf', 'https://ci.carson.ca.us/content/files/pdfs/publicworks/Public%20Works%205%20Year%20CIP%20Summary%20FY%2021-26.pdf']"
G06013392,"['https://www.chulavistaca.gov/businesses/smartcity', 'https://www.chulavistaca.gov/home/showdocument?id=15417', 'https://www.chulavistaca.gov/Home/Components/News/News/1334/8221?arch=1', 'https://www.chulavistaca.gov/businesses/smart-city/about', 'https://www.chulavistaca.gov/businesses/smart-city/projects/smart-irrigation', 'https://www.chulavistaca.gov/businesses', 'https://www.chulavistaca.gov/businesses/smart-city/projects/unmanned-aerial-systems', 'https://www.chulavistaca.gov/businesses/smart-city/projects/smart-bayfront', 'https://www.chulavistaca.gov/businesses/smart-city/projects/adaptive-traffic-signals', 'https://www.chulavistaca.gov/businesses/smart-city/projects/telecommunications-master-plan', 'https://www.chulavistaca.gov/businesses/smart-city/projects/construction-and-development-data', 'https://www.chulavistaca.gov/businesses/smart-city/projects/autonomous-vehicles-project', 'https://www.chulavistaca.gov/businesses/smart-city/projects/accessibility', 'https://www.chulavistaca.gov/businesses/smart-city/projects/technology-training', 'https://www.chulavistaca.gov/businesses/smart-city/projects/privacytaskforce/-sortn-EDate/-sortd-asc', 'https://www.chulavistaca.gov/businesses/smart-city/projects/broadway-corridor-improvements', 'https://www.chulavistaca.gov/businesses/smart-city/projects/open-data', 'https://www.chulavistaca.gov/businesses/smart-city/projects/public-safety-dispatch-modernization-project', 'https://www.chulavistaca.gov/Home/Components/News/News/3309/17?npage=5', 'https://www.chulavistaca.gov/businesses/smart-city/internet-access', 'https://www.chulavistaca.gov/businesses/smart-city/projects/shared-micro-mobility', 'https://www.chulavistaca.gov/Home/Components/News/News/1836/8221', 'https://www.chulavistaca.gov/departments/city-manager/awards', 'https://www.chulavistaca.gov/departments/information-technology-services-', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26190/8687', 'https://www.chulavistaca.gov/residents/enotification', 'https://www.chulavistaca.gov/departments/clean/about-us/intern-info', 'https://www.chulavistaca.gov/departments/public-works/master-plans/traffic-signals-communications-master-plan', 'https://www.chulavistaca.gov/departments/police-department/open-data/real-time-operations-center-rtoc', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/18/3234', 'https://www.chulavistaca.gov/departments/city-clerk/boards-commissions/boards-commissions-list/parks-and-recreation-commission/safety-commission-audio', 'https://www.chulavistaca.gov/departments/parks-and-recreation/parkupdates', 'https://www.chulavistaca.gov/departments/city-clerk/boards-commissions/boards-commissions-list/meetings/-toggle-today', 'https://www.chulavistaca.gov/Sys/sso/Register', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/370/3141', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/276/3141', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/376/5', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/318/5?sortn=SDName', 'https://www.chulavistaca.gov/residents/chula-vista-bayfront', 'https://www.chulavistaca.gov/departments/city-clerk/boards-commissions/vacancies-and-applications/board-of-library-trustees-application', 'https://www.chulavistaca.gov/departments/finance/budget-information/contact-us', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/282/3141', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26733/2854', 'https://www.chulavistaca.gov/Home/Components/News/News/3509/17', 'https://www.chulavistaca.gov/departments/public-works/measure-p/projects/interactive-map', 'https://www.chulavistaca.gov/departments/city-clerk/boards-commissions/vacancies-and-applications/veterans-advisory-commission-application', 'https://www.chulavistaca.gov/departments/human-resources/documents-information-new', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/27005/2854', 'https://www.chulavistaca.gov/departments/finance/payment-plans', 'https://www.chulavistaca.gov/departments/city-clerk/boards-commissions/boards-commissions-list/charter-review-commission/civil-service-commission-audio', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/396/3141', 'https://www.chulavistaca.gov/departments/city-clerk/boards-commissions/applications/healthy-chula-vista-advisory-commission-application', 'https://www.chulavistaca.gov/departments/clean/clean-events', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26903/2854', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/160/5', 'https://www.chulavistaca.gov/departments/animal-care/forms', 'https://www.chulavistaca.gov/departments/library/tours-and-class-visits', 'https://www.chulavistaca.gov/departments/city-clerk/boards-commissions/vacancies-and-applications/historic-preservation-commission-application-updated', 'https://www.chulavistaca.gov/departments/fire-department/open-house-2022', 'https://www.chulavistaca.gov/departments/parks-and-recreation/community-centers/oleander-community-center', 'https://www.chulavistaca.gov/departments/city-clerk/calendar', 'https://www.chulavistaca.gov/departments/parks-and-recreation/community-centers/oleander-community-center', 'https://www.chulavistaca.gov/services/-selcat-52', 'https://www.chulavistaca.gov/departments/fire-department/ready-set-go-/get-set/before-the-fire-starts', 'https://www.chulavistaca.gov/businesses/covidreliefgrantprogram', 'https://www.chulavistaca.gov/departments/recreation/commissions', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26801/2854', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/785/5', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/188/3019?sortn=SDPhone', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26828/2854', 'https://www.chulavistaca.gov/departments/public-works/parks/locations-features-amenities-photos/greg-rogers-park/-PhotoID-118', 'https://www.chulavistaca.gov/departments/public-works/parks/locations-features-amenities-photos/gayle-l-mccandliss-park/-PhotoID-103', 'https://www.chulavistaca.gov/departments/public-works/parks/locations-features-amenities-photos/montecitoPark/-PhotoID-1689', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/747/5', 'https://www.chulavistaca.gov/departments/public-works/parks/locations-features-amenities-photos/holiday-estates-ii-park', 'https://www.chulavistaca.gov/departments/public-works/parks/locations-features-amenities-photos/norman-park/-PhotoID-388', 'https://www.chulavistaca.gov/departments/public-works/parks/locations-features-amenities-photos/paseo-del-rey-park/-PhotoID-411', 'https://www.chulavistaca.gov/departments/neighborhood-protection-unit', 'https://www.chulavistaca.gov/home/showpublisheddocument/15431/636415759214870000', 'https://www.chulavistaca.gov/Home/Components/ServiceDirectory/ServiceDirectory/360/5', 'https://www.chulavistaca.gov/departments/animal-care/bulletin-board-events', 'https://www.chulavistaca.gov/departments/police-department/victim-information', 'https://www.chulavistaca.gov/departments/parks-and-recreation/calendar-of-events', 'https://www.chulavistaca.gov/departments/animal-care', 'https://www.chulavistaca.gov/departments/fire-department/ready-set-go-/get-set/inside-preparation', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/25813/2854', 'https://www.chulavistaca.gov/residents/enotification/-selectview-1', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26795/5810', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26797/5810', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26830/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26830/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26826/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26190/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26366/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/25473/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26729/5810?curdate=1-9-2017', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26070/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26079/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26689/2854', 'https://www.chulavistaca.gov/Home/Components/Calendar/Event/26004/2854']"
G06016000,['https://www.cityofconcord.org/733/Broadband-Master-Plan']
G06016462,['https://www.townofcortemadera.org/DocumentCenter/View/2282/2016-Bicycle-and-Pedestrian-Plan']
